Domain name,name,title,description,robots,viewport,canonical,ogLocale,ogSiteName,ogType,ogTitle,ogDescription,ogUrl,ogImage,ogImageAlt,Domain type,Agency,Organization name,City,State,score,count
nls.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,54.0,7
nhl.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,54.0,7
atf.gov,Department Of Justice,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Washington,DC,23.0,3
biometriccoe.gov,Department Of Justice,1,1,1,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,FBI CJIS,Clarksburg,WV,38.0,5
opportunityzones.gov,Department Of Housing And Urban Development,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,23.0,3
amberalert.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,1,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,77.0,10
campusdrugprevention.gov,Department Of Justice,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,23.0,3
bjs.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,69.0,9
bats.gov,Department Of Justice,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Department of Justice,Potomac,MD,15.0,2
dea.gov,Department Of Justice,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,23.0,3
deaecom.gov,Department Of Justice,1,1,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Drug Enforcement Administration,Washington,DC,15.0,2
dsac.gov,Department Of Justice,1,1,1,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Justice,"U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",Potomac,MD,85.0,11
crimesolutions.gov,Department Of Justice,1,0,0,1,1,0,1,0,1,0,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washinton,DC,54.0,7
crimevictims.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,69.0,9
fbi.gov,Department Of Justice,1,0,1,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,69.0,9
epic.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,1,1,Federal - Executive,Department of Justice,Drug Enforcement Administration,Washington,DC,69.0,9
fbijobs.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,0,1,0,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,62.0,8
fara.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Justice,"U.S. Department of Justice, National Security Division",Washington,DC,54.0,7
