"name","Organization.name","n","mean_score"
"General Services Administration","GSA, FAS, ClearPath",1,15
"General Services Administration","GSA, FAS, ECPIC",1,8
"General Services Administration","GSA, FAS, FPDS",1,23
"General Services Administration","GSA, FAS, SASy",1,8
"General Services Administration","GSA, IC, FAI",1,23
"General Services Administration","GSA, IC, OGP Web Portolio",1,15
"General Services Administration","GSA, IC, OGP WebPortfolio",1,23
"General Services Administration","GSA, IC, ROCIS",1,8
"General Services Administration","GSA, IDI, EAS-SF",1,15
"General Services Administration","GSA, IDI, Enterprise Application Services",1,15
"General Services Administration","GSA, IDI,EAS",1,0
"General Services Administration","GSA, IQ, CAT",1,54
"General Services Administration","GSA, IQ, Clearpath",1,15
"General Services Administration","GSA, IQ, IAE",1,15
"General Services Administration","GSA, IQ-ESRS-FSRS",1,8
"General Services Administration","GSA, IQ-FPDS-FPDS Portal",1,15
"General Services Administration","GSA, IQ-FSD-FSD Portal",1,15
"General Services Administration","GSA, IQ-GSAAdvantage-Main",1,31
"General Services Administration","GSA, IQ-SASy-GSAAuctions",1,15
"General Services Administration","GSA, OGP, Web Portfolio",1,54
"General Services Administration","GSA, TTS, Federalist",1,69
"General Services Administration","Office of Government-wide Policy",1,62
"General Services Administration","TTS Public Benefits Studio",1,23
